id,name,province_id
1,Bocas Del Toro,1
2,Almirante,1
3,Changuinola,1
4,,2
5,Comarca Naso Tjër Di,1
6,Chiriquí Grande,1
7,Aguadulce,3
8,Antón,3
9,La Pintada,3
10,Natá,3
11,Olá,3
12,Penonomé,3
13,Colón,4
14,Chagres,4
15,Donoso,4
16,Portobelo,4
17,Santa Isabel,4
18,Omar Torrijos Herrera,4
19,Alanje,5
20,Barú,5
21,Boquerón,5
22,Boquete,5
23,Bugaba,5
24,David,5
25,Dolega,5
26,Gualaca,5
27,Remedios,5
28,Renacimiento,5
29,San Félix,5
30,San Lorenzo,5
31,Tolé,5
32,Tierras Altas,5
33,Chepigana,6
34,Pinogana,6
35,Santa Fe,6
36,Chitré,7
37,Las Minas,7
38,Los Pozos,7
39,Ocú,7
40,Parita,7
41,Pesé,7
42,Santa María,7
43,Guararé,8
44,Las Tablas,8
45,Los Santos,8
46,Macaracas,8
47,Pedasí,8
48,Pocrí,8
49,Tonosí,8
50,Balboa,9
51,Chepo,9
52,Chimán,9
53,Panamá,9
54,San Miguelito,9
55,Taboga,9
56,Atalaya,10
57,Calobre,10
58,Cañazas,10
59,La Mesa,10
60,Las Palmas,10
61,Montijo,10
62,Río De Jesús,10
63,San Francisco,10
64,Santa Fe,10
65,Santiago,10
66,Soná,10
67,Mariato,10
68,Comarca Kuna Yala,11
69,Cémaco,12
70,Sambú,12
71,Besiko,13
72,Mironó,13
73,Müna,13
74,Nole Duima,13
75,Ñürüm,13
76,Kankintú,13
77,Kusapín,13
78,Jirondai,13
79,Santa Catalina O Calovébora (Bledeshia),13
80,Arraiján,14
81,Capira,14
82,Chame,14
83,La Chorrera,14
84,San Carlos,14
