name,guard_name
auth.login,web
auth.logout,web
auth.password.forgot,web
auth.password.reset,web
auth.password.change_own,web
security.profile.view_own,web
core.notifications.view,web
core.notifications.read,web
core.notifications.read_all,web
dashboard.view,web
employee.profile.view_own,web
employee.welfare.view_own,web
planning.schedule.current.view_own,web
planning.schedule.history.view_own,web
planning.schedule.exceptions.view_own,web
planning.my_day.view_own,web
intelligence.operations.view,web
intelligence.schedule.resolve,web
workflow.leave.request.create,web
workflow.leave.request.view_own,web
workflow.shift_swap.request.create,web
workflow.shift_swap.request.respond,web
attendance.self.view,web
attendance.self.history.view,web
team.schedule.published.view,web
team.intraday.availability.view,web
attendance.escalation.create,web
attendance.escalation.view,web
team.members.view_direct,web
attendance.incidents.team.record,web
attendance.incidents.team.view,web
workflow.leave.approval.review_team,web
workflow.shift_swap.approval.review_team,web
workflow.inbox.team.view,web
workflow.exceptions.direct.create,web
planning.break_overrides.create,web
planning.break_overrides.view,web
reports.team.compliance.view,web
planning.team.published.view,web
organization.hierarchy.full.view,web
workflow.leave.approval.review_management,web
reports.management.consolidated.view,web
workflow.exceptions.special.authorize,web
schedule.catalog.view,web
schedule.catalog.create,web
schedule.catalog.update,web
wfm.settings.update,web
planning.weekly.create,web
planning.weekly.mass_assign,web
planning.weekly.publish,web
planning.intraday.activity.create,web
planning.intraday.assignment.create,web
schedule.break_templates.assign,web
workflow.exceptions.bulk.create,web
reports.global.view,web
reports.export.csv,web
reports.export.excel,web
operations.global.view,web
kpis.global.view,web
workflow.leave.approval.review_direction,web
workflow.exceptions.institutional.authorize,web
workflow.exceptions.force_approve,web
security.users.view,web
security.users.create,web
security.users.update,web
security.users.toggle_status,web
security.users.assign_roles,web
security.roles.view,web
security.roles.permissions.sync,web
organization.structure.manage,web
employee.import.execute,web
employee.medical.manage,web
audit.logs.view,web
system.reprocess.execute,web
system.reprocess.information,web
