id,title,department_id,position_code
1,DIR. NAL. DE ASISTENCIA SERV. ASEG.,1,POS-001
2,JEFE ASIST. SERV. ASEG. SERV. PUB.,1,POS-002
3,JEFE CONTROL Y MONITOREO SERV. ASEG,1,POS-003
4,JEFE DE SECCION III,1,POS-004
5,COORD. DE ASIST. SERV. ASEG.,1,POS-005
6,ADMOR. SOLUCIONES ANAL.ASIST.ASEG.,1,POS-006
7,ANALISTA CONTROL Y MONIT. SERV.ASEG,1,POS-007
8,ANALISTA DE CALC. PENS. Y SUBSIDIOS,1,POS-008
9,COORD. REND. SERV. DE ASIST. ASEG.,1,POS-009
10,OPERADOR ASIST. SERV. ASEG. II,1,POS-010
11,INVESTIGADOR DE INGRESOS II,1,POS-011
12,MENSAJERO II,1,POS-012
13,OPERADOR ASIST. SERV. ASEG. I,1,POS-013
