cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,cod_corr,nomb_corr,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
,01,Bocas del Toro,0101,Bocas del Toro,010102,Bastimentos,LEY N° 1 del 27 de octubre de 1982,LEY N° 5 del 19 de enero de 1998,GA 19956,GA 23464,Tierra,230570.385337268555304,60909953.734953418374062
,01,Bocas del Toro,0104,Almirante,010408,Cauchero,LEY N° 69 del 28 de octubre de 1998,LEY N° 172 del 19 de octubre de 2020,GA 23664,GA 29169-B,Tierra,103260.795680588329560,140090389.898682504892349
,01,Bocas del Toro,0101,Bocas del Toro,010104,Punta Laurel,LEY N° 1 del 27 de octubre de 1982,LEY N° 5 del 19 de enero de 1998,GA 19956,GA 23464,Tierra,180721.858657916134689,71306238.861591801047325
,01,Bocas del Toro,0102,Changuinola,010217,Finca 60,LEY N° 39 del 8 de junio de 2015,LEY N° 172 del 19 de octubre de 2020,GA 27801-A,GA 29169-B,Tierra,38220.387942231420311,30215087.416935656219721
",01,Bocas del Toro,0102,Changuinola,010203,Guabito,LEY N° 1 del 27 de octubre de 1982,""LEY N° 5 del 19 de enero de 1998, LEY N° 40 del 30 de abril de 2003, LEY N° 172 de 19 de octubre de 2020, LEY N° 188 del 4 de diciembrede 2020"",GA 19956,""GA 23464, GA 24794, GA 29169-B, GA 29170-A"",Tierra,62557.044034554019163,90509292.997615724802017"
,01,Bocas del Toro,0102,Changuinola,010207,Las Tablas,LEY N° 40 del 30 de abril de 2003,LEY N° 18 del 26 de febrero de 2009,GA 24794,GA 26233,Tierra,35268.754913360673527,51689265.086420707404613
,01,Bocas del Toro,0102,Changuinola,010208,Cochigró,LEY N° 18 del 26 de febrero de 2009,LEY N° 188 del 4 de diciembrede 2020,GA 26261,GA 29170-A,Tierra,88283.225557942700107,193893861.072651207447052
,01,Bocas del Toro,0102,Changuinola,010209,La Gloria,LEY N° 18 del 26 de febrero de 2009,N/A,GA 26233,N/A,Tierra,86546.411834176047705,158750886.364335715770721
,01,Bocas del Toro,0105,Comarca Naso Tjër Di,010501,Área de la Comarca Naso Tjër Di,LEY N° 188 del 4 de diciembre de 2020,N/A,GA 29170-A,N/A,Tierra,228113.768418339343043,1606479163.691857337951660
,01,Bocas del Toro,0103,Chiriquí Grande,010301,Chiriquí Grande ,LEY N° 1 del 27 de octubre de 1982,LEY N° 69 del 28 de octubre de 1998,GA 19956,GA 23664,Tierra,90155.921658425155329,60329790.587056770920753
,01,Bocas del Toro,0103,Chiriquí Grande,010302,Miramar,LEY N° 69 del 28 de octubre de 1998,N/A,GA 19956,N/A,Tierra,46707.593527731012728,26737288.860226914286613
,01,Bocas del Toro,0103,Chiriquí Grande,010303,Punta Peña,LEY N° 69 del 28 de octubre de 1998,N/A,GA 23664,N/A,Tierra,24933.167604637936165,18241654.150717921555042
",01,Bocas del Toro,0103,Chiriquí Grande,010304,Punta Róbalo,LEY N° 1 del 27 de octubre de 1982,""LEY N° 69 del 28 de octubre de 1998, LEY N° 18 del 26 de febrero de 2009"",GA 19956,""GA 23664, GA 26261"",Tierra,56038.591077243574546,50649386.586851730942726"
