cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
",01,Bocas del Toro,0101,Bocas del Toro,LEY N° 1 del 27 de octubre de 1982,""LEY N° 10 del 7 de marzo de 1997, LEY N° 69 del 28 de octubre de 1998"",GA 19956,""GA 23242, GA 23664"",Tierra,769379.450071345083416,285278683.134100973606110"
,01,Bocas del Toro,0102,Changuinola,LEY N° 1 del 27 de octubre de 1982,LEY N° 39 del 8 de junio de 2015,GA 19956,GA 27801-A,Tierra,305872.726931167242583,983660355.305928468704224
",01,Bocas del Toro,0103,Chiriquí Grande,LEY N° 1 del 27 de octubre de 1982,""LEY N° 10 del 7 de marzo de 1997, LEY N° 69 del 28 de octubre de 1998"",GA 19956,""GA 23242, GA 23664"",Tierra,258107.415172957524192,210207637.930125325918198"
,01,Bocas del Toro,0104,Almirante,LEY N° 39 del 8 de junio de 2015,N/A,GA 27801-A,N/A,Tierra,344582.453043896355666,1568591091.378117799758911
,01,Bocas del Toro,0105,Comarca Naso Tjër Di,LEY N° 188 del 4 de diciembre de 2020,N/A,GA 29170-A,N/A,Tierra,228113.768418339343043,1606479163.691857337951660
,02,Coclé,0202,Antón,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,187949.935191883210791,743303154.637000679969788
,02,Coclé,0203,La Pintada,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,192550.980739188962616,1030589642.528157830238342
,02,Coclé,0205,Olá,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,94358.220037541381316,377238197.519008874893188
,02,Coclé,0206,Penonomé,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,317532.188257920963224,1707762612.024231910705566
,03,Colón,0301,Colón,LEY N° 1 del 22 de agosto de 1916,LEY N° 1 del 27 de octubre de 1982,GA 02404,GA 19981,Masa de Agua - Lago,1424153.408500534249470,262209505.514777302742004
